booking_id,booking_date,booking_time,day_of_week,branch,branch_city,service_name,service_category,technician,customer_name,vehicle_make,vehicle_model,vehicle_year,payment_method,status,price_pkr,duration_min,wait_time_min,customer_rating,revenue_pkr
JOB-105316,2025-08-01,12:15,Friday,AutoHub Downtown,Rawalpindi,Wheel Alignment & Balancing,Maintenance,Waqas Ali,Adeel Tariq,Suzuki,Cultus,2019,Cash,Completed,3230.0,78,10,4.5,3230.0
JOB-104902,2025-08-01,07:15,Friday,AutoHub Downtown,Rawalpindi,Oil & Filter Change,Maintenance,Hina Sultana,Farhan Farooq,MG,HS,2016,Card,Completed,3990.0,49,3,4.5,3990.0
JOB-101364,2025-08-01,14:45,Friday,AutoHub Downtown,Rawalpindi,Oil & Filter Change,Maintenance,Hina Sultana,Hassan Shah,Toyota,Fortuner,2023,Card,Completed,3880.0,43,9,4.5,3880.0
JOB-104336,2025-08-01,12:30,Friday,AutoHub Industrial,Faisalabad,Brake Service,Safety,Faisal Mehmood,Zainab Noor,Toyota,Fortuner,2020,Mobile Wallet,No-show,8910.0,96,13,,0.0
JOB-102972,2025-08-01,11:30,Friday,AutoHub Riverside,Lahore,AC Performance Check,Comfort,Kamran Yousuf,Hassan Tariq,Kia,Sportage,2018,Mobile Wallet,Cancelled,2920.0,52,20,,0.0
JOB-102921,2025-08-01,11:45,Friday,AutoHub Riverside,Lahore,Detailing & Paint Protection,Comfort,Kamran Yousuf,Usman Raza,Toyota,Yaris,2023,Card,Completed,12170.0,199,27,4.5,12170.0
JOB-104396,2025-08-01,12:30,Friday,AutoHub Riverside,Lahore,Diagnostic Scan,Diagnostics,Aliya Baig,Bilal Rafiq,Toyota,Yaris,2014,Card,Completed,1590.0,35,12,4.5,1590.0
JOB-100916,2025-08-01,11:00,Friday,AutoHub Riverside,Lahore,Full Inspection (Pre-Purchase),Diagnostics,Imran Qureshi,Iqra Iqbal,MG,HS,2020,Cash,Cancelled,5780.0,107,10,,0.0
JOB-105783,2025-08-01,15:00,Friday,AutoHub Riverside,Lahore,Brake Service,Safety,Waqas Ali,Ahmed Yousaf,Toyota,Fortuner,2022,Mobile Wallet,Completed,8990.0,91,16,4.5,8990.0
JOB-101567,2025-08-01,11:15,Friday,AutoHub Riverside,Lahore,Diagnostic Scan,Diagnostics,Sana Rafiq,Mahnoor Yousaf,Hyundai,Tucson,2024,Cash,Completed,1560.0,32,21,4.5,1560.0
